1h,1d,7d,28d
47789.006,48225.7633,48136.8375,48498.8126
46675.8239,48457.9213,48339.1947,48594.0275
47269.2181,48671.901,48614.0046,48877.894
47609.2225,48548.9052,49197.131,49398.5974
47616.3793,48825.1604,49428.4056,49401.2752
47632.4385,49196.5009,49339.4405,49776.1461
47371.4829,48990.5427,49495.3262,49673.3448
47630.9992,47280.3095,49743.4112,49855.0898
47091.1674,45929.6306,49906.5917,49179.4529
46632.2506,45401.6244,49640.5872,48729.2521
45962.3842,43839.9002,49166.7938,48654.8637
45193.2274,44149.4794,47700.4887,47165.5896
44906.979,43619.002,47263.442,45796.7786
43475.3134,43323.6855,46781.7307,45081.9835
42387.1138,43125.0625,46073.9017,45164.6534
42222.128,43811.5129,45732.4387,45102.1311
41848.3771,43696.8942,45076.6053,44113.3254
40961.0592,43344.8826,44933.8736,44961.3388
41242.9917,44313.7963,45152.2984,45088.219
41323.2471,45045.5595,45891.0557,46297.0365
42012.3896,46375.9269,46962.7529,46751.859
42975.5542,47420.1435,47484.6087,47261.9687
42942.3619,46915.6203,46759.2372,47338.7179
43997.6523,47789.006,47742.7332,48083.9542
45079.8722,46675.8239,48003.7601,48344.068
45455.9235,47269.2181,48159.4686,48382.8773
45264.3452,47609.2225,48379.1298,48531.6801
45580.8494,47616.3793,48634.0916,48903.7631
45885.1824,47632.4385,48969.9433,48852.7093
46376.9004,47371.4829,48848.9506,49158.8372
46339.5511,47630.9992,49100.7428,48991.1579
46149.7684,47091.1674,49541.5105,49226.0339
45898.06,46632.2506,49279.3906,49386.4319
45614.5213,45962.3842,48919.539,49224.5359
45136.6841,45193.2274,48466.1182,48220.8442
44264.7847,44906.979,48364.0877,47699.4913
44291.1603,43475.3134,47430.4251,46686.3256
43238.2451,42387.1138,46803.1625,46583.8404
43221.8899,42222.128,46380.2632,46033.2406
42668.9801,41848.3771,45828.5276,45792.975
42133.6578,40961.0592,45559.4933,45673.4385
42334.2506,41242.9917,46483.3797,46544.2201
42083.4818,41323.2471,46920.2333,47228.7083
42680.5345,42012.3896,47588.0659,47995.8296
43480.6319,42975.5542,48419.9006,48855.1814
44125.5792,42942.3619,48952.5772,49044.0452
45025.9702,43997.6523,48282.9007,49054.2954
45888.2034,45079.8722,48629.398,49456.6294
46113.9454,45455.9235,48932.5539,49479.4266
46318.2425,45264.3452,48788.4294,49353.0137
46293.8895,45580.8494,48980.6415,49545.7792
46472.809,45885.1824,49014.2843,49771.8941
46695.2094,46376.9004,49102.8251,49895.0108
46746.6729,46339.5511,49073.1706,49913.0474
46836.0121,46149.7684,49968.0002,50005.8624
47343.3009,45898.06,47826.1826,47367.3111
45057.4138,45614.5213,45569.4863,45810.6576
43439.6716,45136.6841,44478.1293,45257.6753
42381.2354,44264.7847,43703.6925,43978.5027
41523.1428,44291.1603,44367.4062,44078.5769
41535.1513,43238.2451,42978.4206,43716.5758
40996.2368,43221.8899,42786.2347,42921.8453
40528.4988,42668.9801,42113.3531,42148.0571
39924.1607,42133.6578,42557.0591,42259.6704
39866.6378,42334.2506,42641.6164,42586.4402
39535.2605,42083.4818,43879.0732,42811.5214
39852.9672,42680.5345,45253.7991,43732.7578
40598.288,43480.6319,46243.752,45420.4288
41812.1242,44125.5792,47954.516,46345.7633
42899.6144,45025.9702,49174.8372,48222.7328
44581.4912,45888.2034,48239.3756,48457.8356
45594.2704,46113.9454,48653.7356,48891.3083
46130.6997,46318.2425,48865.5679,49011.4144
44489.6405,46293.8895,49139.3862,49203.763
43763.1229,46472.809,49114.9007,49458.1467
45417.2782,46695.2094,49282.6926,49788.0857
44034.3391,46746.6729,49228.3666,49818.5892
44158.5867,46836.0121,49601.8875,50279.9962
44238.4977,47343.3009,49074.8245,50288.9929
45314.8939,45057.4138,47480.8035,47747.4014
43169.6025,43439.6716,46358.1185,46608.954
42853.8896,42381.2354,45265.172,45911.9635
41718.7986,41523.1428,44502.6777,44739.7738
41256.4243,41535.1513,45166.6216,44539.4013
40430.2249,40996.2368,43875.397,43777.8943
39310.7177,40528.4988,42800.6994,43182.8207
38871.5534,39924.1607,42264.0123,42998.0212
38153.7382,39866.6378,43078.7825,43145.3782
38058.9768,39535.2605,43176.0421,42743.6364
37757.1369,39852.9672,43806.1807,43602.3773
38406.2445,40598.288,44630.1624,44217.8911
40009.6705,41812.1242,46265.738,45520.96
40836.7316,42899.6144,47455.6984,46727.3244
41991.8596,44581.4912,48409.6867,48017.4339
43130.4285,45594.2704,48104.3625,48311.5117
45641.1111,46130.6997,48593.69,48673.0793
47108.705,44489.6405,48642.2548,48795.25
47073.0731,43763.1229,48869.8081,49086.9065
47249.6301,45417.2782,49136.979,49021.9699
47369.0773,44034.3391,49323.7566,49210.9543
47658.941,44158.5867,49389.1322,48804.1991
47660.5668,44238.4977,49820.6097,49388.3027
47605.1895,45314.8939,49673.3601,49476.1402
47537.5814,43169.6025,46975.9483,46871.8603
44416.4169,42853.8896,46397.6075,45903.9497
42522.6172,41718.7986,45792.8314,44910.6077
42108.6394,41256.4243,44183.1046,44176.3204
41639.0663,40430.2249,44567.1673,43874.571
41830.5778,39310.7177,44172.2499,42445.5058
40455.4426,38871.5534,43808.441,42042.9897
40315.9229,38153.7382,42774.6409,41629.8581
39059.5814,38058.9768,43678.4974,41994.9604
39789.2051,37757.1369,43899.3819,42384.8139
39627.3366,38406.2445,44248.9671,43014.1269
39651.5377,40009.6705,45332.0084,44357.2676
40559.1758,40836.7316,45560.6691,45587.8672
40714.0958,41991.8596,47112.0955,46481.8617
42095.3685,43130.4285,48642.4786,47694.9096
42956.7728,45641.1111,48023.8807,48225.3069
44536.0286,47108.705,48708.9846,48480.0756
45648.1828,47073.0731,48896.2069,48691.2718
46202.7599,47249.6301,48926.29,48836.7618
45544.4971,47369.0773,49165.2957,48999.7458
45283.6279,47658.941,49703.0074,49434.1657
45158.5172,47660.5668,49412.9747,49058.8222
44996.8639,47605.1895,49310.6796,49041.0716
45037.9546,47537.5814,49663.2315,49120.2223
45260.4795,44416.4169,47928.5161,46522.1672
42420.8457,42522.6172,45955.1382,45666.1854
40573.1914,42108.6394,44424.1306,44559.3574
39944.5708,41639.0663,43421.4605,43419.3497
39592.1782,41830.5778,43881.382,43068.351
39026.4009,40455.4426,43145.5042,43279.8279
37967.2718,40315.9229,42706.413,42736.6068
37796.9581,39059.5814,42419.4077,41257.8396
36784.3642,39789.2051,42526.0475,41583.1412
37144.165,39627.3366,42648.1027,42264.0334
37555.559,39651.5377,43319.7147,42877.305
38262.4532,40559.1758,45074.1427,44110.8273
39014.0899,40714.0958,46090.2403,44965.9314
39593.6647,42095.3685,47316.7869,46654.4289
40955.3067,42956.7728,48047.2215,47896.9044
41047.4783,44536.0286,47656.3535,47576.4816
42529.2246,45648.1828,48263.9251,48312.5225
42823.253,46202.7599,48225.7633,48449.6203
43252.1991,45544.4971,48457.9213,48494.9168
43393.7818,45283.6279,48671.901,48803.7467
43562.7903,45158.5172,48548.9052,48721.7953
43808.3124,44996.8639,48825.1604,48783.0367
44023.6835,45037.9546,49196.5009,49133.5683
43878.7851,45260.4795,48990.5427,48955.2292
44393.7225,42420.8457,47280.3095,46649.3656
42038.4705,40573.1914,45929.6306,45308.3009
41281.231,39944.5708,45401.6244,45045.8825
40877.6785,39592.1782,43839.9002,44212.1021
39877.0881,39026.4009,44149.4794,43981.7058
40204.2267,37967.2718,43619.002,43977.5821
38849.3576,37796.9581,43323.6855,43642.6928
38719.6211,36784.3642,43125.0625,43798.0748
38218.898,37144.165,43811.5129,43881.1966
37885.2274,37555.559,43696.8942,43778.3816
37569.7565,38262.4532,43344.8826,43930.6627
38294.8561,39014.0899,44313.7963,44666.5593
39055.2818,39593.6647,45045.5595,45886.5308
39153.5418,40955.3067,46375.9269,46422.422
39767.2716,41047.4783,47420.1435,48037.0177
40380.8791,42529.2246,46915.6203,47276.5923
41692.4363,42823.253,47789.006,48298.8012
42521.6691,43252.1991,46675.8239,48264.4606
42706.5797,43393.7818,47269.2181,48415.9226
42672.0739,43562.7903,47609.2225,48757.6532
42939.9802,43808.3124,47616.3793,48705.7127
43364.1655,44023.6835,47632.4385,48731.8154
43396.1336,43878.7851,47371.4829,48812.5992
42965.2321,44393.7225,47630.9992,48704.0548
42766.4559,42038.4705,47091.1674,48558.9936
42442.2148,41281.231,46632.2506,48520.0685
42272.4124,40877.6785,45962.3842,48208.1644
41827.3651,39877.0881,45193.2274,47401.6048
42004.7734,40204.2267,44906.979,45968.3497
41361.7114,38849.3576,43475.3134,45599.3081
40376.3423,38719.6211,42387.1138,45121.413
39980.3219,38218.898,42222.128,45424.639
38987.8166,37885.2274,41848.3771,44673.7013
39074.3603,37569.7565,40961.0592,44298.5458
38491.3111,38294.8561,41242.9917,44536.8409
38263.7796,39055.2818,41323.2471,45127.1746
37971.4847,39153.5418,42012.3896,45287.6697
38269.0344,39767.2716,42975.5542,46492.7081
39178.5175,40380.8791,42942.3619,46792.777
39582.5744,41692.4363,43997.6523,46495.4494
41326.6939,42521.6691,45079.8722,47399.0967
42200.0399,42706.5797,45455.9235,47231.4592
42364.2888,42672.0739,45264.3452,47422.7713
42240.9693,42939.9802,45580.8494,47489.3674
42522.88,43364.1655,45885.1824,47749.102
42744.598,43396.1336,46376.9004,48093.796
43031.3154,42965.2321,46339.5511,47772.0521
42823.4244,42766.4559,46149.7684,47972.4923
42839.9808,42442.2148,45898.06,48140.3608
42848.1786,42272.4124,45614.5213,47667.6502
42761.8912,41827.3651,45136.6841,47722.4696
42450.459,42004.7734,44264.7847,47238.7522
42249.8076,41361.7114,44291.1603,47144.8102
42430.3924,40376.3423,43238.2451,47180.3058
41107.0265,39980.3219,43221.8899,45812.1857
40631.5765,38987.8166,42668.9801,45499.5993
39787.0679,39074.3603,42133.6578,45387.4699
39502.486,38491.3111,42334.2506,45650.373
39371.323,38263.7796,42083.4818,45522.7508
39553.0533,37971.4847,42680.5345,46677.0873
40329.8192,38269.0344,43480.6319,47545.8988
40470.3555,39178.5175,44125.5792,48379.4192
41223.6486,39582.5744,45025.9702,48877.1944
41690.6941,41326.6939,45888.2034,48465.7117
43045.904,42200.0399,46113.9454,49053.9668
43630.2979,42364.2888,46318.2425,49100.7727
43816.08,42240.9693,46293.8895,48964.2208
43921.8398,42522.88,46472.809,49102.7285
44126.6617,42744.598,46695.2094,48923.8087
44334.5479,43031.3154,46746.6729,49139.3509
44297.4442,42823.4244,46836.0121,49425.9665
44317.4515,42839.9808,47343.3009,49349.5627
44841.5894,42848.1786,45057.4138,47162.1729
42195.6748,42761.8912,43439.6716,46379.6979
40727.6021,42450.459,42381.2354,45445.3043
39560.6951,42249.8076,41523.1428,44799.6116
39110.8787,42430.3924,41535.1513,44552.5988
39154.3557,41107.0265,40996.2368,43982.0794
38436.2412,40631.5765,40528.4988,43719.2862
37774.4814,39787.0679,39924.1607,43088.098
37521.4825,39502.486,39866.6378,44369.5503
37145.4447,39371.323,39535.2605,43473.0956
37292.7422,39553.0533,39852.9672,44346.2323
37396.9103,40329.8192,40598.288,44777.8836
38665.005,40470.3555,41812.1242,46138.225
39693.5577,41223.6486,42899.6144,47046.2191
40192.4551,41690.6941,44581.4912,48450.4466
41338.2734,43045.904,45594.2704,48670.0087
42809.2878,43630.2979,46130.6997,48850.1513
43215.1948,43816.08,44489.6405,48891.8935
43275.9415,43921.8398,43763.1229,49177.4859
43290.5833,44126.6617,45417.2782,49317.3734
43470.5271,44334.5479,44034.3391,48129.1089
43793.8924,44297.4442,44158.5867,48413.7007
43628.0155,44317.4515,44238.4977,48408.8817
43603.6674,44841.5894,45314.8939,48932.9364
44646.8666,42195.6748,43169.6025,46878.4189
42433.714,40727.6021,42853.8896,45521.9164
41610.2499,39560.6951,41718.7986,44944.2065
40812.1805,39110.8787,41256.4243,44160.0298
39737.2834,39154.3557,40430.2249,44447.8258
39889.5352,38436.2412,39310.7177,43655.9545
38877.3042,37774.4814,38871.5534,43315.1699
38257.7219,37521.4825,38153.7382,43233.7746
37368.9279,37145.4447,38058.9768,44059.4586
37122.6365,37292.7422,37757.1369,43667.0052
37064.6869,37396.9103,38406.2445,43751.0818
37649.3806,38665.005,40009.6705,44587.6312
37843.4847,39693.5577,40836.7316,45669.4527
38791.7676,40192.4551,41991.8596,47181.61
39655.5199,41338.2734,43130.4285,48132.1237
40892.1413,42809.2878,45641.1111,47397.145
42993.616,43215.1948,47108.705,48283.8086
43203.0374,43275.9415,47073.0731,48164.0655
43887.1416,43290.5833,47249.6301,48437.6334
44229.831,43470.5271,47369.0773,48560.4958
44504.3978,43793.8924,47658.941,49052.4022
44810.765,43628.0155,47660.5668,49196.6232
44714.1785,43603.6674,47605.1895,49729.7222
44639.6771,44646.8666,47537.5814,49373.5582
44474.496,42433.714,44416.4169,47305.743
42171.5614,41610.2499,42522.6172,46298.478
41785.0916,40812.1805,42108.6394,45078.0591
40504.9559,39737.2834,41639.0663,44154.3475
39759.4431,39889.5352,41830.5778,43816.3829
40588.4242,38877.3042,40455.4426,43889.9387
40046.3666,38257.7219,40315.9229,43110.5488
